"Entry ID","PDB ID","Macromolecule Name","Entity ID","Entry Id (Polymer Entity Identifiers)",
"3C7I","3C7I","Growth factor receptor-bound protein 2","1","3C7I",
"3T0L","3T0L","14-3-3 protein sigma","1","3T0L",
"3T0M","3T0M","14-3-3 protein sigma","1","3T0M",
"4LR6","4LR6","Bromodomain-containing protein 4","1","4LR6",
"4M6B","4M6B","Chimera protein of Histone H2B.1 and Histone H2A.Z","1","4M6B",
,,"Helicase SWR1","2","4M6B",
"3U9X","3U9X","14-3-3 protein sigma","1","3U9X",
"2VFX","2VFX","MITOTIC SPINDLE ASSEMBLY CHECKPOINT PROTEIN MAD2A","1","2VFX",
"4X2I","4X2I","Bromodomain-containing protein 4","1","4X2I",
"5WXG","5WXG","Transcription initiation factor TFIID subunit 3","1","5WXG",
,,"Histone H3K4ac","2","5WXG",
"5WXH","5WXH","Transcription initiation factor TFIID subunit 3","1","5WXH",
,,"Histone H3K4me3","2","5WXH",
"4RAG","4RAG","Protein phosphatase 1A","1","4RAG",
"4C6B","4C6B","CAD PROTEIN","1","4C6B",
"4C6C","4C6C","CAD PROTEIN","1","4C6C",
"4C6D","4C6D","CAD PROTEIN","1","4C6D",
"4C6E","4C6E","DIHYDROOROTASE","1","4C6E",
"4C6F","4C6F","DIHYDROOROTASE","1","4C6F",
"4C6O","4C6O","CAD PROTEIN","1","4C6O",
"4C6P","4C6P","CAD PROTEIN","1","4C6P",
"4C6Q","4C6Q","CAD PROTEIN","1","4C6Q",
"4C6I","4C6I","CAD PROTEIN","1","4C6I",
"4C6J","4C6J","CAD PROTEIN","1","4C6J",
"4C6K","4C6K","CAD PROTEIN","1","4C6K",
"4C6L","4C6L","CAD PROTEIN","1","4C6L",
"4C6M","4C6M","CAD PROTEIN","1","4C6M",
"4C6N","4C6N","CAD PROTEIN","1","4C6N",
"4DHT","4DHT","14-3-3 PROTEIN SIGMA","1","4DHT",
"4DHM","4DHM","14-3-3 protein sigma","1","4DHM",
"4DHN","4DHN","14-3-3 protein sigma","1","4DHN",
"4DHO","4DHO","14-3-3 protein sigma","1","4DHO",
"6KEI","6KEI","Bromodomain-containing protein 4","1","6KEI",
"6KEH","6KEH","Bromodomain-containing protein 4","1","6KEH",
"6KEK","6KEK","Bromodomain-containing protein 4","1","6KEK",
"6KEJ","6KEJ","Bromodomain-containing protein 4","1","6KEJ",
"6KEC","6KEC","Bromodomain-containing protein 4","1","6KEC",
"6G0G","6G0G","Bromodomain-containing protein 4","1","6G0G",
"6G0E","6G0E","Bromodomain-containing protein 4","1","6G0E",
"2CBC","2CBC","CARBONIC ANHYDRASE II","1","2CBC",
"2CG7","2CG7","FIBRONECTIN","1","2CG7",
"2CG6","2CG6","HUMAN FIBRONECTIN","1","2CG6",
"6YPL","6YPL","14-3-3 protein sigma","1","6YPL",
,,"p65pS45","2","6YPL",
"6YOW","6YOW","14-3-3 protein sigma","1","6YOW",
,,"p65pS45","2","6YOW",
"6YP8","6YP8","14-3-3 protein sigma","1","6YP8",
,,"p65pS45","2","6YP8",
"6YOY","6YOY","14-3-3 protein sigma","1","6YOY",
,,"p65pS45","2","6YOY",
"6YP2","6YP2","14-3-3 protein sigma","1","6YP2",
,,"p65pS45","2","6YP2",
"6YP3","6YP3","14-3-3 protein sigma","1","6YP3",
,,"p65pS45","2","6YP3",
"6YPY","6YPY","14-3-3 protein sigma","1","6YPY",
,,"p65pS45","2","6YPY",
"6YQ2","6YQ2","14-3-3 protein sigma","1","6YQ2",
,,"p65pS45","2","6YQ2",
"6WXC","6WXC","Uridylate-specific endoribonuclease","1","6WXC",
"6XKH","6XKH","3C-like proteinase","1","6XKH",
"7JFQ","7JFQ","3C-like proteinase","1","7JFQ",
"6ZIS","6ZIS","Maltodextrin-binding protein,Receptor activity-modifying protein 1,Calcitonin gene-related peptide type 1 receptor","1","6ZIS",
"1KMQ","1KMQ","TRANSFORMING PROTEIN RHOA","1","1KMQ",
"3LW8","3LW8","Transforming protein RhoA","1","3LW8",
,,"IpgB2","2","3LW8",
"3LXR","3LXR","Transforming protein RhoA","1","3LXR",
,,"IpgB2","2","3LXR",
"3MSX","3MSX","Transforming protein RhoA","1","3MSX",
,,"Rho GTPase-activating protein 20","2","3MSX",
"2Y9Q","2Y9Q","MITOGEN-ACTIVATED PROTEIN KINASE 1","1","2Y9Q",
,,"MAP KINASE-INTERACTING SERINE/THREONINE-PROTEIN KINASE 1","2","2Y9Q",
"4XSG","4XSG","Transforming protein RhoA","1","4XSG",
,,"ADP-ribosyltransferase","2","4XSG",
"5C2K","5C2K","Transforming protein RhoA,Rac GTPase-activating protein 1","1","5C2K",
"5EZ6","5EZ6","Transforming protein RhoA","1","5EZ6",
"6BCB","6BCB","Transforming protein RhoA","1","6BCB",
,,"Rho guanine nucleotide exchange factor 18","2","6BCB",
"6FAV","6FAV","14-3-3 protein sigma","1","6FAV",
,,"ACE-ARG-THR-PRO-SEP-LEU-PRO-GLY","2","6FAV",
,,"THR-PRO-SEP-LEU-PRO-GLY","3","6FAV",
"6FAU","6FAU","14-3-3 protein sigma","1","6FAU",
,,"ACE-ARG-THR-PRO-SEP-LEU-PRO-GLY","2","6FAU",
,,"THR-PRO-SEP-LEU-PRO-GLY","3","6FAU",
"6FAW","6FAW","14-3-3 protein sigma","1","6FAW",
,,"ACE-ARG-THR-PRO-SEP-LEU-PRO-GLY","2","6FAW",
,,"THR-PRO-SEP-LEU-PRO-GLY","3","6FAW",
"6FBY","6FBY","14-3-3 protein sigma","1","6FBY",
,,"ACE-ARG-THR-PRO-SEP-LEU-PRO-GLY","2","6FBY",
,,"THR-PRO-SEP-LEU-PRO-GLY","3","6FBY",
"1TX4","1TX4","P50-RHOGAP","1","1TX4",
,,"TRANSFORMING PROTEIN RHOA","2","1TX4",
"1OW3","1OW3","Rho-GTPase-activating protein 1","1","1OW3",
,,"Transforming protein RhoA","2","1OW3",
"6KX3","6KX3","Transforming protein RhoA","1","6KX3",
"6KX2","6KX2","Transforming protein RhoA","1","6KX2",
