"Entry ID","PDB ID","Macromolecule Name","Entity ID","Entry Id (Polymer Entity Identifiers)",
"5MOP","5MOP","Cationic trypsin","1","5MOP",
"5MOQ","5MOQ","Cationic trypsin","1","5MOQ",
"5MOS","5MOS","Cationic trypsin","1","5MOS",
"5MON","5MON","Cationic trypsin","1","5MON",
"3HGN","3HGN","Elastase-1","1","3HGN",
"6F2Q","6F2Q","Galectin-3","1","6F2Q",
"6EXY","6EXY","Galectin-3","1","6EXY",
"6EYM","6EYM","Galectin-3","1","6EYM",
"2VAY","2VAY","CALMODULIN","1","2VAY",
,,"VOLTAGE-DEPENDENT L-TYPE CALCIUM CHANNEL SUBUNIT ALPHA-1S","2","2VAY",
"4EHQ","4EHQ","Calmodulin","1","4EHQ",
,,"Calcium release-activated calcium channel protein 1","2","4EHQ",
"6PNM","6PNM","Glutathione S-transferase omega-1","1","6PNM",
"6PNO","6PNO","Glutathione S-transferase omega-1","1","6PNO",
"5YVO","5YVO","Glutathione S-transferase omega-1","1","5YVO",
"5YVN","5YVN","Glutathione S-transferase omega-1","1","5YVN",
"1FW4","1FW4","CALMODULIN","1","1FW4",
"3B32","3B32","Calmodulin","1","3B32",
"3IF7","3IF7","Calmodulin","1","3IF7",
"2PQ3","2PQ3","Calmodulin","1","2PQ3",
"6DAD","6DAD","Calmodulin-1","1","6DAD",
,,"Voltage-dependent L-type calcium channel subunit alpha-1C","2","6DAD",
"3VLN","3VLN","Glutathione S-transferase omega-1","1","3VLN",
"6U3D","6U3D","Calmodulin-1","1","6U3D",
,,"Voltage-dependent L-type calcium channel subunit alpha-1C","2","6U3D",
"6U3A","6U3A","Calmodulin-1","1","6U3A",
,,"Voltage-dependent L-type calcium channel subunit alpha-1C","2","6U3A",
"6U3B","6U3B","Calmodulin-1","1","6U3B",
,,"Voltage-dependent L-type calcium channel subunit alpha-1C","2","6U3B",
"4IS0","4IS0","Glutathione S-transferase omega-1","1","4IS0",
"4YQU","4YQU","Glutathione S-transferase omega-1","1","4YQU",
"2F3Z","2F3Z","Calmodulin","1","2F3Z",
,,"Voltage-dependent L-type calcium channel alpha-1C subunit","2","2F3Z",
"2F3Y","2F3Y","Calmodulin","1","2F3Y",
,,"Voltage-dependent L-type calcium channel alpha-1C subunit","2","2F3Y",
"1HNA","1HNA","GLUTATHIONE S-TRANSFERASE","1","1HNA",
"5HWL","5HWL","Glutathione S-transferase Mu 2","1","5HWL",
"1XW5","1XW5","Glutathione S-transferase Mu 2","1","1XW5",
"3SJQ","3SJQ","Calmodulin","1","3SJQ",
,,"Small conductance calcium-activated potassium channel protein 2","2","3SJQ",
"4G27","4G27","Small conductance calcium-activated potassium channel protein 2","1","4G27",
,,"Calmodulin","2","4G27",
"4G28","4G28","Small conductance calcium-activated potassium channel protein 2","1","4G28",
,,"Calmodulin","2","4G28",
"4IQ2","4IQ2","Peptidyl-prolyl cis-trans isomerase FKBP1B","1","4IQ2",
"4IQC","4IQC","Peptidyl-prolyl cis-trans isomerase FKBP1B","1","4IQC",
"5HKG","5HKG","Peptidyl-prolyl cis-trans isomerase FKBP1B","1","5HKG",
"5V2Q","5V2Q","Voltage-dependent L-type calcium channel subunit beta-2,Voltage-dependent L-type calcium channel subunit beta-2","1","5V2Q",
,,"Voltage-dependent L-type calcium channel subunit alpha-1C","2","5V2Q",
"1G4Y","1G4Y","CALCIUM-ACTIVATED POTASSIUM CHANNEL RSK2","1","1G4Y",
,,"CALMODULIN","2","1G4Y",
"1CLL","1CLL","CALMODULIN","1","1CLL",
"2C4J","2C4J","GLUTATHIONE S-TRANSFERASE MU 2","1","2C4J",
"6Y4O","6Y4O","Calmodulin-2","1","6Y4O",
,,"Ryanodine receptor 2","2","6Y4O",
"6Q9I","6Q9I","Aspartyl/asparaginyl beta-hydroxylase","1","6Q9I",
,,"Coagulation factor X","2","6Q9I",
"5DSU","5DSU","Calmodulin","1","5DSU",
"5JQY","5JQY","Aspartyl/asparaginyl beta-hydroxylase","1","5JQY",
,,"Coagulation factor X","2","5JQY",
"6Q9F","6Q9F","Aspartyl/asparaginyl beta-hydroxylase","1","6Q9F",
,,"Coagulation factor X","2","6Q9F",
"5KN3","5KN3","Calsequestrin","1","5KN3",
"4BW8","4BW8","CALMODULIN","1","4BW8",
"4J9Y","4J9Y","Small conductance calcium-activated potassium channel protein 2","1","4J9Y",
,,"Calmodulin","2","4J9Y",
"4J9Z","4J9Z","Small conductance calcium-activated potassium channel protein 2","1","4J9Z",
,,"Calmodulin","2","4J9Z",
"4DEY","4DEY","Voltage-dependent L-type calcium channel subunit alpha-1C","1","4DEY",
,,"Voltage-dependent L-type calcium channel subunit beta-2","2","4DEY",
"3EK7","3EK7","Myosin light chain kinase, Green fluorescent protein, Calmodulin chimera","1","3EK7",
"6M7H","6M7H","Calmodulin-1","1","6M7H",
"3EVU","3EVU","Myosin light chain kinase, Green fluorescent protein, Calmodulin-1  chimera","1","3EVU",
"6EEB","6EEB","Calmodulin-1","1","6EEB",
"6O5G","6O5G","Calmodulin-1","1","6O5G",
"5CRG","5CRG","Calsequestrin-1","1","5CRG",
"3UCY","3UCY","Calmodulin","1","3UCY",
"3UCT","3UCT","Calmodulin","1","3UCT",
"3UCW","3UCW","Calmodulin","1","3UCW",
"5V02","5V02","Small conductance calcium-activated potassium channel protein 2","1","5V02",
,,"Calmodulin-1","2","5V02",
"5V03","5V03","Small conductance calcium-activated potassium channel protein 2","1","5V03",
,,"Calmodulin","2","5V03",
"1PRW","1PRW","Calmodulin","1","1PRW",
"3SG7","3SG7","Myosin light chain kinase, Green fluorescent protein, Calmodulin-1 chimera","1","3SG7",
"3SG5","3SG5","Myosin light chain kinase, Green fluorescent protein, Calmodulin-1 chimera","1","3SG5",
"3SG6","3SG6","Myosin light chain kinase, Green fluorescent protein, Calmodulin-1 chimera","1","3SG6",
"4BW7","4BW7","CALMODULIN","1","4BW7",
"4LZX","4LZX","Calmodulin","1","4LZX",
,,"IQ domain-containing protein G","2","4LZX",
"6MUE","6MUE","Calmodulin-1","1","6MUE",
,,"Sodium channel protein type 4 subunit alpha","2","6MUE",
"5WBX","5WBX","Small conductance calcium-activated potassium channel protein 2","1","5WBX",
,,"Calmodulin-1","2","5WBX",
"6OWV","6OWV","Calsequestrin-2","1","6OWV",
"6MBA","6MBA","Sodium channel protein type 4 subunit alpha","1","6MBA",
,,"Calmodulin-1","2","6MBA",
"4Q57","4Q57","Calmodulin","1","4Q57",
,,"Plectin","2","4Q57",
"3TRP","3TRP","Calsequestrin-1","1","3TRP",
"5C33","5C33","Ryanodine receptor 2","1","5C33",
"4ETV","4ETV","Ryanodine receptor 2","1","4ETV",
"4P9L","4P9L","Ryanodine receptor 2","1","4P9L",
"5NIN","5NIN","Calmodulin","1","5NIN",
,,"A-kinase anchor protein 5","2","5NIN",
"4P9I","4P9I","Ryanodine receptor 2","1","4P9I",
"4USL","4USL","SORCIN","1","4USL",
,,"SORCIN","2","4USL",
"3IM6","3IM6","Cardiac Ca2+ release channel","1","3IM6",
"5JQA","5JQA","Calmodulin","1","5JQA",
,,"Myosin light chain kinase, smooth muscle","2","5JQA",
"2DC5","2DC5","Glutathione S-transferase, mu 7","1","2DC5",
"6K67","6K67","3LRH introbody","1","6K67",
,,"Engineered calmodulin","2","6K67",
"2WEL","2WEL","CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II DELTA CHAIN","1","2WEL",
,,"CALMODULIN","2","2WEL",
"5DOW","5DOW","Calmodulin","1","5DOW",
,,"Chloride anion exchanger","2","5DOW",
"3V1W","3V1W","Calsequestrin-1","1","3V1W",
"3WFN","3WFN","Calmodulin, Sodium channel protein type 8 subunit alpha","1","3WFN",
"1ZUZ","1ZUZ","calmodulin","1","1ZUZ",
,,"DRP-1 kinase","2","1ZUZ",
"3US3","3US3","Calsequestrin-1","1","3US3",
"3SUI","3SUI","Calmodulin","1","3SUI",
,,"Transient receptor potential cation channel subfamily V member 1","2","3SUI",
"5VSN","5VSN","Ryanodine receptor 2","1","5VSN",
"6J6L","6J6L","Ryanodine receptor 2","1","6J6L",
"2R5G","2R5G","Chloride intracellular channel protein 2","1","2R5G",
"2R4V","2R4V","Chloride intracellular channel protein 2","1","2R4V",
"5K8Q","5K8Q","Calmodulin","1","5K8Q",
,,"Zgc:136689","2","5K8Q",
"1T0H","1T0H","VOLTAGE-GATED CALCIUM CHANNEL SUBUNIT BETA2A","1","1T0H",
,,"VOLTAGE-GATED CALCIUM CHANNEL SUBUNIT BETA2A","2","1T0H",
"5JTH","5JTH","Calmodulin","1","5JTH",
,,"Myosin light chain kinase, smooth muscle","2","5JTH",
"1YR5","1YR5","calmodulin","1","1YR5",
,,"19-mer from Death-associated protein kinase 1","2","1YR5",
"3TRQ","3TRQ","Calsequestrin-1","1","3TRQ",
"2Y4V","2Y4V","CALMODULIN","1","2Y4V",
,,"DEATH-ASSOCIATED PROTEIN KINASE 1,","2","2Y4V",
"6HR1","6HR1","Myosin light chain kinase 2, skeletal/cardiac muscle,Unconventional myosin-X,Green fluorescent protein,Calmodulin-1","1","6HR1",
"2HQW","2HQW","Calmodulin","1","2HQW",
,,"Glutamate NMDA receptor subunit zeta 1","2","2HQW",
"3BYA","3BYA","Calmodulin","1","3BYA",
,,"Glutamate [NMDA] receptor subunit zeta-1 peptide","2","3BYA",
"1B4P","1B4P","PROTEIN (GLUTATHIONE S-TRANSFERASE)","1","1B4P",
"4Q5U","4Q5U","Calmodulin","1","4Q5U",
,,"Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform","2","4Q5U",
"1FKL","1FKL","FK506 BINDING PROTEIN","1","1FKL",
"2W73","2W73","CALMODULIN","1","2W73",
